date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:41	115793/115793	---M-Z	200	added ('OK')	text/html	etag:%221c451-67f79e0c-ff2c4b07af4dbac5;gz%22	https://mentoriasouza.site/marmitas/	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/index.html	(from )
23:51:41	115/115	---MCZ	200	added ('OK')	text/plain	etag:%22330-1744283369;gz%22	https://mentoriasouza.site/robots.txt		(from )
23:51:41	2782/2782	---M-Z	200	added ('OK')	text/css	etag:%22ade-67f79e0c-963859f0d8d2cafa;gz%22	https://mentoriasouza.site/marmitas/css/cookieblocker.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/cookieblocker.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:42	60575/60575	---M-Z	200	added ('OK')	text/css	etag:%22ec9f-67f79e0c-d3117af91d2b96f1;gz%22	https://mentoriasouza.site/marmitas/css/frontend.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/frontend.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:42	16223/16223	---M-Z	200	added ('OK')	text/css	etag:%223f5f-67f79e0c-a2b08142ec2fd89c;gz%22	https://mentoriasouza.site/marmitas/css/swiper.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/swiper.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:42	10260/10260	---M-Z	200	added ('OK')	text/css	etag:%222814-67f79e0c-173efb6cdfad6370;gz%22	https://mentoriasouza.site/marmitas/css/e-swiper.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/e-swiper.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:42	1170/1170	---M-Z	200	added ('OK')	text/css	etag:%22492-67f79e0c-63f45c469ab20da2;gz%22	https://mentoriasouza.site/marmitas/css/post-10.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/post-10.css	(from https://mentoriasouza.site/marmitas/)
23:51:43	480540/480540	---M-Z	200	added ('OK')	text/css	etag:%227551c-67f79e0c-493ff59f9b7c7598;gz%22	https://mentoriasouza.site/marmitas/css/frontend.min_1.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/frontend.min_1.css	(from https://mentoriasouza.site/marmitas/)
23:51:43	198/198	---M--	200	added ('OK')	text/css	etag:%22c6-67f79e0c-8ce7125338d2e932;;;%22	https://mentoriasouza.site/marmitas/css/e-animation-grow.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/e-animation-grow.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:43	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-67f79e0c-a73857229f7adc;;;%22	https://mentoriasouza.site/marmitas/css/widget-image.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/widget-image.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:43	600/600	---M-Z	200	added ('OK')	text/css	etag:%22258-67f79e0c-c3244ac809e96c9f;gz%22	https://mentoriasouza.site/marmitas/css/widget-heading.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/widget-heading.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:44	704/704	---M-Z	200	added ('OK')	text/css	etag:%222c0-67f79e0c-ed2ba7383d2c3f7e;gz%22	https://mentoriasouza.site/marmitas/css/widget-text-editor.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/widget-text-editor.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:44	1868/1868	---M-Z	200	added ('OK')	text/css	etag:%2274c-67f79e0c-dfe4e50d80e8d42e;gz%22	https://mentoriasouza.site/marmitas/css/widget-video.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/widget-video.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:45	10094/10094	---M-Z	200	added ('OK')	text/css	etag:%22276e-67f79e0c-d86052ee64a483cb;gz%22	https://mentoriasouza.site/marmitas/css/widget-icon-box.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/widget-icon-box.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:45	106/106	---M--	200	added ('OK')	text/css	etag:%226a-67f79e0c-828278ddac73591d;;;%22	https://mentoriasouza.site/marmitas/css/widget-menu-anchor.min.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/widget-menu-anchor.min.css	(from https://mentoriasouza.site/marmitas/)
23:51:45	88663/88663	---M-Z	200	added ('OK')	text/css	etag:%2215a57-67f79e0c-e6432311419ab57;gz%22	https://mentoriasouza.site/marmitas/css/post-15.css	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/css/post-15.css	(from https://mentoriasouza.site/marmitas/)
23:51:45	6448/6448	---M-Z	200	added ('OK')	application/x-javascript	etag:%221930-67f79e0d-1e0f6f0b58cad2d3;gz%22	https://mentoriasouza.site/marmitas/js/timeme.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/timeme.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:46	6833/6833	---M-Z	200	added ('OK')	application/x-javascript	etag:%221ab1-67f79e0d-13e6a42714e5013f;gz%22	https://mentoriasouza.site/marmitas/js/burst.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/burst.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:46	1711/1711	---M-Z	200	added ('OK')	application/x-javascript	etag:%226af-67f79e0d-9d53094041df912d;gz%22	https://mentoriasouza.site/marmitas/js/js.cookie-2.1.3.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/js.cookie-2.1.3.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:46	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-67f79e0d-d8781ab1ea25f413;gz%22	https://mentoriasouza.site/marmitas/js/jquery.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/jquery.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:46	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-67f79e0d-5435789f42efdd92;gz%22	https://mentoriasouza.site/marmitas/js/jquery-migrate.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/jquery-migrate.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:47	1326/1326	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252e-67f79e0d-da0c08a97525d028;gz%22	https://mentoriasouza.site/marmitas/js/jquery.bind-first-0.2.3.min.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/jquery.bind-first-0.2.3.min.js	(from https://mentoriasouza.site/marmitas/)
23:51:47	113380/113380	---M-Z	200	added ('OK')	application/x-javascript	etag:%221bae4-67f79e0d-d45c043670fb2896;gz%22	https://mentoriasouza.site/marmitas/js/public.js	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/js/public.js	(from https://mentoriasouza.site/marmitas/)
23:51:47	326628/326628	---M--	200	added ('OK')	font/woff2	etag:%224fbe4-67f79e0c-e0b45fce540e7fc7;;;%22	https://mentoriasouza.site/marmitas/fonts/Inter-VariableFont_slnt%2Cwght.woff2	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/fonts/Inter-VariableFont_slnt,wght.woff2	(from https://mentoriasouza.site/marmitas/)
23:51:48	146060/146060	---M--	200	added ('OK')	font/woff2	etag:%2223a8c-67f79e0c-1c84024bd992c590;;;%22	https://mentoriasouza.site/marmitas/fonts/cardo_normal_400.woff2	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/fonts/cardo_normal_400.woff2	(from https://mentoriasouza.site/marmitas/)
23:51:48	105184/105184	---M--	200	added ('OK')	font/woff2	etag:%2219ae0-67f79e0c-4ef6d447ffbe8cdf;;;%22	https://mentoriasouza.site/marmitas/fonts/cardo_italic_400.woff2	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/fonts/cardo_italic_400.woff2	(from https://mentoriasouza.site/marmitas/)
23:51:48	132564/132564	---M--	200	added ('OK')	font/woff2	etag:%22205d4-67f79e0c-bbc9e917ea0963ce;;;%22	https://mentoriasouza.site/marmitas/fonts/cardo_normal_700.woff2	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/fonts/cardo_normal_700.woff2	(from https://mentoriasouza.site/marmitas/)
23:51:48	7751/7751	---M--	200	added ('OK')	image/jpeg	etag:%221e47-67f79e0c-f4e142b3150d0902;;;%22	https://mentoriasouza.site/marmitas/images/images-150x150.jpg	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/images/images-150x150.jpg	(from https://mentoriasouza.site/marmitas/)
23:51:49	11397/11397	---M--	200	added ('OK')	image/jpeg	etag:%222c85-67f79e0c-92482ca43c559a52;;;%22	https://mentoriasouza.site/marmitas/images/images.jpg	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/images/images.jpg	(from https://mentoriasouza.site/marmitas/)
23:51:49	120849/120849	---M--	200	added ('OK')	image/png	etag:%221d811-67f79e0c-37432e92f31b8ca1;;;%22	https://mentoriasouza.site/marmitas/images/LOGO-MARMITA-FIT-2-1.png	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/images/LOGO-MARMITA-FIT-2-1.png	(from https://mentoriasouza.site/marmitas/)
23:51:50	276486/276486	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2011%20Apr%202025%2002:51:50%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/filip/Desktop/03fit/connect.facebook.net/en_US/fbevents.js	(from https://mentoriasouza.site/marmitas/)
23:51:50	427097/427097	---M--	200	added ('OK')	image/jpeg	etag:%2268459-67f79e0e-bd63f084610f789a;;;%22	https://mentoriasouza.site/marmitas/images/CAPA-VSL-MARMITAFIT-1.jpg	C:/Users/filip/Desktop/03fit/mentoriasouza.site/marmitas/images/CAPA-VSL-MARMITAFIT-1.jpg	(from https://mentoriasouza.site/marmitas/)
